ticker,start,end,years,dip,dca_net_return,dip_net_return,net_return_diff,winner,dca_final_value,dip_final_value,dca_cagr,dip_cagr,dca_max_dd,dip_max_dd,dip_max_wait_months,inst
SLV,1995-01-01,2025-01-01,30,0.2,0.4767019541630405,0.4431907568945477,-0.03351119726849283,DCA,332257.9396866841,324717.92030127323,0.021096059448539428,0.019841539298453892,-0.5433262021129583,-0.50826585156243,28,Silver
MSFT,2015-01-01,2025-01-01,10,0.05,3.0993912148014027,2.663667063058931,-0.4357241517424715,DCA,491926.9457761683,439640.04756707174,0.15289005524102173,0.1398992299040851,-0.2808939106597601,-0.2773457607941687,27,Microsoft
MSFT,2015-01-01,2025-01-01,10,0.1,3.0993912148014027,1.7048324300413045,-1.3945587847600982,DCA,491926.9457761683,324579.89160495653,0.15289005524102173,0.10554883584565333,-0.2808939106597601,-0.26143953461691966,47,Microsoft
MSFT,2015-01-01,2025-01-01,10,0.2,3.0993912148014027,0.5563397823875579,-2.543051432413845,DCA,491926.9457761683,186760.77388650694,0.15289005524102173,0.045615971710018854,-0.2808939106597601,-0.14902261262871322,89,Microsoft
MSFT,1995-01-01,2025-01-01,30,0.05,21.51452109640916,20.174623688166815,-1.3398974082423472,DCA,8105227.594707298,7622864.527740053,0.10970597874778765,0.10743236783665733,-0.6050877234188676,-0.6001288331254994,27,Microsoft
MSFT,1995-01-01,2025-01-01,30,0.1,21.51452109640916,19.36935415995607,-2.1451669364530908,DCA,8105227.594707298,7332967.497584186,0.10970597874778765,0.10599805896712189,-0.6050877234188676,-0.5965920787060287,44,Microsoft
MSFT,1995-01-01,2025-01-01,30,0.2,21.51452109640916,12.304342043234737,-9.210179053174425,DCA,8105227.594707298,4789563.135564505,0.10970597874778765,0.09036279689528026,-0.6050877234188676,-0.5058478334655047,104,Microsoft
INTC,2015-01-01,2025-01-01,10,0.05,-0.4151684623124348,-0.41303530482605866,0.002133157486376158,DIP,70179.78452250782,70435.76342087296,-0.05265776307179648,-0.05230988287685556,-0.5394995834551722,-0.5397318721967522,11,Intel
INTC,2015-01-01,2025-01-01,10,0.1,-0.4151684623124348,-0.43274277956046414,-0.017574317248029325,DCA,70179.78452250782,68070.8664527443,-0.05265776307179648,-0.05556805759412298,-0.5394995834551722,-0.5375097932460249,26,Intel
INTC,2015-01-01,2025-01-01,10,0.2,-0.4151684623124348,-0.4804672071606197,-0.06529874484818488,DCA,70179.78452250782,62343.93514072564,-0.05265776307179648,-0.06390091447037483,-0.5394995834551722,-0.5307320200531014,66,Intel
INTC,1995-01-01,2025-01-01,30,0.05,0.3394178198203456,0.28994034071716485,-0.04947747910318073,DCA,482190.4151353244,464378.52265817934,0.00981622475047983,0.0085465352368026,-0.7767854291910101,-0.7706271819667603,10,Intel
INTC,1995-01-01,2025-01-01,30,0.1,0.3394178198203456,0.29599816657723116,-0.04341965324311442,DCA,482190.4151353244,466559.3399678032,0.00981622475047983,0.008704495777887455,-0.7767854291910101,-0.7645744462878726,14,Intel
INTC,1995-01-01,2025-01-01,30,0.2,0.3394178198203456,0.30353882094060797,-0.03587899887973761,DCA,482190.4151353244,469273.97553861886,0.00981622475047983,0.008900127643392208,-0.7767854291910101,-0.7647139886184982,33,Intel
TSLA,2015-01-01,2025-01-01,10,0.05,11.967709747112858,11.930921795240025,-0.03678795187283335,DCA,1556125.169653543,1551710.615428803,0.29486187444020806,0.29449096994651836,-0.6725953443072801,-0.6725234609627221,5,Tesla
TSLA,2015-01-01,2025-01-01,10,0.1,11.967709747112858,12.153008438407243,0.1852986912943848,DIP,1556125.169653543,1578361.0126088692,0.29486187444020806,0.2967158348853185,-0.6725953443072801,-0.6723701706926941,9,Tesla
TSLA,2015-01-01,2025-01-01,10,0.2,11.967709747112858,12.815551275314949,0.8478415282020908,DIP,1556125.169653543,1657866.153037794,0.29486187444020806,0.3031580731143406,-0.6725953443072801,-0.6723519398797082,14,Tesla
TSLA,1995-01-01,2025-01-01,30,0.05,54.40165807013399,53.84483840024396,-0.5568196698900323,DCA,9695290.162273448,9597846.720042692,0.3188651554493096,0.31794701121453395,-0.6764787098511378,-0.6764624677546404,7,Tesla
TSLA,1995-01-01,2025-01-01,30,0.1,54.40165807013399,50.693601485324926,-3.7080565848090643,DCA,9695290.162273448,9046380.259931862,0.3188651554493096,0.31258136440716955,-0.6764787098511378,-0.6763785367760696,11,Tesla
TSLA,1995-01-01,2025-01-01,30,0.2,54.40165807013399,50.8297459039827,-3.571912166151293,DCA,9695290.162273448,9070205.533196973,0.3188651554493096,0.3128193965806185,-0.6764787098511378,-0.6763354580240587,14,Tesla
KO,2015-01-01,2025-01-01,10,0.05,0.47388730377505345,0.49092787852978387,0.01704057475473042,DIP,176866.4764530064,178911.34542357406,0.03989212066740433,0.04109827588893977,-0.2143578910099906,-0.2060078085433463,10,Coca-Cola
KO,2015-01-01,2025-01-01,10,0.1,0.47388730377505345,0.4932365263069822,0.019349222531928778,DIP,176866.4764530064,179188.38315683787,0.03989212066740433,0.04126073063488245,-0.2143578910099906,-0.18072265807739027,26,Coca-Cola
KO,2015-01-01,2025-01-01,10,0.2,0.47388730377505345,0.3447425176386746,-0.12914478613637886,DCA,176866.4764530064,161369.10211664095,0.03989212066740433,0.030320254824203197,-0.2143578910099906,-0.10269733513266244,62,Coca-Cola
KO,1995-01-01,2025-01-01,30,0.05,2.3661854558277104,2.2086378367989963,-0.15754761902871417,DCA,1211826.7640979758,1155109.6212476387,0.04140657138867798,0.039739314134575876,-0.2917504668820168,-0.2784649367827513,26,Coca-Cola
KO,1995-01-01,2025-01-01,30,0.1,2.3661854558277104,2.1799960962444302,-0.1861893595832802,DCA,1211826.7640979758,1144798.594647995,0.04140657138867798,0.03942773169478331,-0.2917504668820168,-0.2705517507371767,57,Coca-Cola
KO,1995-01-01,2025-01-01,30,0.2,2.3661854558277104,2.0060867264990048,-0.3600987293287057,DCA,1211826.7640979758,1082191.2215396417,0.04140657138867798,0.03747551904120194,-0.2917504668820168,-0.2649092566471007,116,Coca-Cola
